# {
#     "poni_version": 2.1,
#     "dist": 0.15768496156055517,
#     "poni1": 0.01846849792105989,
#     "poni2": 0.014689110424981307,
#     "rot1": -0.5666082591692108,
#     "rot2": -0.0014812675151785156,
#     "rot3": 0.0,
#     "detector": "Pilatus100k",
#     "detector_config": {
#         "orientation": 3
#     },
#     "wavelength": 1.0332016536100021e-10
# }
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 123.54586177870002
# --> /Users/vsomani/Documents/SWAXS_data_reduction_correction_Analysis/demo/1D/WAXS/Reduction/Hor_scan_Run5_RampT20_ctr0_scan1_0000_WAXS.dat
#       q_nm^-1              I           sigma 
  2.183905e+01    1.543768e+00   7.237642e-03
  2.186957e+01    1.531311e+00   7.094448e-03
  2.190009e+01    1.517691e+00   7.165461e-03
  2.193062e+01    1.514883e+00   7.071365e-03
  2.196114e+01    1.523361e+00   7.180017e-03
  2.199167e+01    1.514171e+00   7.097539e-03
  2.202219e+01    1.499954e+00   7.109643e-03
  2.205271e+01    1.500853e+00   7.085761e-03
  2.208324e+01    1.505068e+00   7.118193e-03
  2.211376e+01    1.505778e+00   7.124421e-03
  2.214429e+01    1.502562e+00   7.098516e-03
  2.217481e+01    1.499701e+00   7.134719e-03
  2.220533e+01    1.485108e+00   7.041909e-03
  2.223586e+01    1.466281e+00   7.075045e-03
  2.226638e+01    1.462786e+00   6.981289e-03
  2.229691e+01    1.464638e+00   7.098622e-03
  2.232743e+01    1.462436e+00   6.968215e-03
  2.235795e+01    1.463410e+00   7.102692e-03
  2.238848e+01    1.458704e+00   6.939140e-03
  2.241900e+01    1.446785e+00   7.058320e-03
  2.244953e+01    1.438593e+00   6.848824e-03
  2.248005e+01    1.448177e+00   7.064176e-03
  2.251057e+01    1.443650e+00   6.842955e-03
  2.254110e+01    1.437871e+00   7.025009e-03
  2.257162e+01    1.435386e+00   6.805732e-03
  2.260215e+01    1.436132e+00   7.017663e-03
  2.263267e+01    1.435616e+00   6.796690e-03
  2.266319e+01    1.429212e+00   6.994379e-03
  2.269372e+01    1.417901e+00   6.742511e-03
  2.272424e+01    1.417080e+00   6.954140e-03
  2.275477e+01    1.418276e+00   6.752331e-03
  2.278529e+01    1.412855e+00   6.937940e-03
  2.281581e+01    1.405566e+00   6.721319e-03
  2.284634e+01    1.400675e+00   6.905586e-03
  2.287686e+01    1.393232e+00   6.703721e-03
  2.290738e+01    1.389055e+00   6.863244e-03
  2.293791e+01    1.395450e+00   6.725704e-03
  2.296843e+01    1.392419e+00   6.866307e-03
  2.299896e+01    1.381850e+00   6.708247e-03
  2.302948e+01    1.380673e+00   6.822614e-03
  2.306000e+01    1.381116e+00   6.742014e-03
  2.309053e+01    1.376426e+00   6.798697e-03
  2.312105e+01    1.374665e+00   6.757089e-03
  2.315158e+01    1.371649e+00   6.780723e-03
  2.318210e+01    1.359628e+00   6.744482e-03
  2.321262e+01    1.349549e+00   6.703803e-03
  2.324315e+01    1.349972e+00   6.751281e-03
  2.327367e+01    1.349217e+00   6.697869e-03
  2.330420e+01    1.339203e+00   6.752035e-03
  2.333472e+01    1.336552e+00   6.654859e-03
  2.336524e+01    1.342019e+00   6.782958e-03
  2.339577e+01    1.345461e+00   6.661679e-03
  2.342629e+01    1.334157e+00   6.772532e-03
  2.345682e+01    1.320429e+00   6.564057e-03
  2.348734e+01    1.319616e+00   6.733362e-03
  2.351786e+01    1.316297e+00   6.521527e-03
  2.354839e+01    1.306845e+00   6.689534e-03
  2.357891e+01    1.297602e+00   6.445420e-03
  2.360944e+01    1.296096e+00   6.651965e-03
  2.363996e+01    1.306644e+00   6.456481e-03
  2.367048e+01    1.301716e+00   6.656940e-03
  2.370101e+01    1.293750e+00   6.406022e-03
  2.373153e+01    1.291536e+00   6.624002e-03
  2.376206e+01    1.291450e+00   6.421805e-03
  2.379258e+01    1.276853e+00   6.577469e-03
  2.382310e+01    1.270862e+00   6.380705e-03
  2.385363e+01    1.269681e+00   6.553880e-03
  2.388415e+01    1.267388e+00   6.387583e-03
  2.391468e+01    1.266755e+00   6.531103e-03
  2.394520e+01    1.268195e+00   6.412520e-03
  2.397572e+01    1.263374e+00   6.517918e-03
  2.400625e+01    1.260160e+00   6.415006e-03
  2.403677e+01    1.261036e+00   6.505259e-03
  2.406729e+01    1.252020e+00   6.423997e-03
  2.409782e+01    1.243100e+00   6.438853e-03
  2.412834e+01    1.249779e+00   6.461093e-03
  2.415887e+01    1.247037e+00   6.436992e-03
  2.418939e+01    1.245742e+00   6.475754e-03
  2.421991e+01    1.241396e+00   6.406569e-03
  2.425044e+01    1.241308e+00   6.493221e-03
  2.428096e+01    1.242148e+00   6.389779e-03
  2.431149e+01    1.237617e+00   6.509714e-03
  2.434201e+01    1.232166e+00   6.337093e-03
  2.437253e+01    1.235598e+00   6.512367e-03
  2.440306e+01    1.228478e+00   6.297363e-03
  2.443358e+01    1.217070e+00   6.447545e-03
  2.446411e+01    1.205681e+00   6.207786e-03
  2.449463e+01    1.205657e+00   6.406434e-03
  2.452515e+01    1.210350e+00   6.206438e-03
  2.455568e+01    1.210370e+00   6.420773e-03
  2.458620e+01    1.200712e+00   6.159666e-03
  2.461673e+01    1.203565e+00   6.387941e-03
  2.464725e+01    1.208194e+00   6.188511e-03
  2.467777e+01    1.204141e+00   6.386112e-03
  2.470830e+01    1.195787e+00   6.162307e-03
