# {
#     "poni_version": 2.1,
#     "dist": 2.9096968104998107,
#     "poni1": 0.10779319712289274,
#     "poni2": 0.08448893861682619,
#     "rot1": 0.0,
#     "rot2": 0.0,
#     "rot3": 0.0,
#     "detector": "Pilatus1M",
#     "detector_config": {
#         "orientation": 3
#     },
#     "wavelength": 1.0332016536100021e-10
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 123.54586177870002
# --> /Users/vsomani/Documents/SWAXS_data_reduction_correction_Analysis/demo/1D/SAXS/Reduction/Hor_scan_Run5_RampT20_ctr0_scan1_0000_SAXS.dat
#       q_nm^-1              I           sigma 
  8.944437e-01    1.018991e-02   2.186001e-04
  8.966470e-01    1.014457e-02   2.186168e-04
  8.988503e-01    1.028358e-02   2.199633e-04
  9.010536e-01    1.008228e-02   2.179751e-04
  9.032569e-01    1.004566e-02   2.180314e-04
  9.054602e-01    9.812010e-03   2.140683e-04
  9.076635e-01    9.835758e-03   2.144679e-04
  9.098668e-01    9.853454e-03   2.147429e-04
  9.120701e-01    9.934354e-03   2.163121e-04
  9.142734e-01    9.942833e-03   2.161645e-04
  9.164767e-01    9.955323e-03   2.148995e-04
  9.186800e-01    9.839325e-03   2.135090e-04
  9.208833e-01    9.761823e-03   2.137805e-04
  9.230866e-01    9.430460e-03   2.103517e-04
  9.252899e-01    9.309379e-03   2.092624e-04
  9.274932e-01    9.420195e-03   2.091484e-04
  9.296964e-01    9.636412e-03   2.098201e-04
  9.318997e-01    9.818350e-03   2.111781e-04
  9.341030e-01    9.522123e-03   2.087941e-04
  9.363063e-01    9.383535e-03   2.077636e-04
  9.385096e-01    9.277175e-03   2.078466e-04
  9.407129e-01    9.262498e-03   2.076195e-04
  9.429162e-01    9.201634e-03   2.070918e-04
  9.451195e-01    8.919699e-03   2.037530e-04
  9.473228e-01    9.105816e-03   2.050944e-04
  9.495261e-01    9.264213e-03   2.052047e-04
  9.517294e-01    9.098454e-03   2.044985e-04
  9.539327e-01    8.859628e-03   2.023775e-04
  9.561360e-01    8.647216e-03   2.011432e-04
  9.583393e-01    8.934216e-03   2.028133e-04
  9.605426e-01    8.960667e-03   2.026475e-04
  9.627459e-01    8.742824e-03   2.004219e-04
  9.649492e-01    8.787399e-03   2.004742e-04
  9.671525e-01    9.015866e-03   2.033494e-04
  9.693558e-01    8.814554e-03   2.003616e-04
  9.715591e-01    8.638022e-03   1.981325e-04
  9.737624e-01    8.732513e-03   1.994751e-04
  9.759657e-01    8.685110e-03   1.981048e-04
  9.781690e-01    8.558130e-03   1.974069e-04
  9.803723e-01    8.561473e-03   1.967182e-04
  9.825756e-01    8.538094e-03   1.966006e-04
  9.847789e-01    8.295814e-03   1.954389e-04
  9.869822e-01    8.467075e-03   1.959310e-04
  9.891854e-01    8.359704e-03   1.952058e-04
  9.913887e-01    8.026171e-03   1.930193e-04
  9.935920e-01    8.319400e-03   1.945522e-04
  9.957953e-01    8.633500e-03   1.967917e-04
  9.979986e-01    8.476236e-03   1.951321e-04
  1.000202e+00    8.167681e-03   1.931688e-04
  1.002405e+00    7.954613e-03   1.916584e-04
  1.004609e+00    8.188157e-03   1.928880e-04
  1.006812e+00    8.350013e-03   1.938486e-04
  1.009015e+00    8.166783e-03   1.919819e-04
  1.011218e+00    8.062138e-03   1.918723e-04
  1.013422e+00    7.908781e-03   1.902535e-04
  1.015625e+00    7.867611e-03   1.897058e-04
  1.017828e+00    7.887771e-03   1.901565e-04
  1.020032e+00    7.868921e-03   1.894033e-04
  1.022235e+00    7.895267e-03   1.897274e-04
  1.024438e+00    7.725472e-03   1.887999e-04
  1.026641e+00    7.707680e-03   1.882093e-04
  1.028845e+00    7.734347e-03   1.876377e-04
  1.031048e+00    7.633534e-03   1.877836e-04
  1.033251e+00    7.560082e-03   1.864465e-04
  1.035455e+00    7.496510e-03   1.858403e-04
  1.037658e+00    7.706481e-03   1.875006e-04
  1.039861e+00    7.771220e-03   1.870602e-04
  1.042065e+00    7.588034e-03   1.848662e-04
  1.044268e+00    7.461774e-03   1.851151e-04
  1.046471e+00    7.206855e-03   1.832285e-04
  1.048674e+00    7.347792e-03   1.839482e-04
  1.050878e+00    7.556141e-03   1.849171e-04
  1.053081e+00    7.511027e-03   1.841186e-04
  1.055284e+00    7.477973e-03   1.842182e-04
  1.057488e+00    7.442968e-03   1.840844e-04
  1.059691e+00    7.560592e-03   1.842561e-04
  1.061894e+00    7.540785e-03   1.838094e-04
  1.064098e+00    7.656055e-03   1.848551e-04
  1.066301e+00    7.515324e-03   1.826769e-04
  1.068504e+00    7.417967e-03   1.817916e-04
  1.070707e+00    7.479560e-03   1.822270e-04
  1.072911e+00    7.473611e-03   1.824082e-04
  1.075114e+00    7.381700e-03   1.821392e-04
  1.077317e+00    7.271521e-03   1.800779e-04
  1.079521e+00    7.154531e-03   1.796800e-04
  1.081724e+00    7.229611e-03   1.802358e-04
  1.083927e+00    7.092685e-03   1.786900e-04
  1.086130e+00    6.888872e-03   1.778228e-04
  1.088334e+00    6.962636e-03   1.788359e-04
  1.090537e+00    7.043943e-03   1.785778e-04
  1.092740e+00    7.056619e-03   1.790752e-04
  1.094944e+00    6.988993e-03   1.777680e-04
  1.097147e+00    6.871494e-03   1.765448e-04
  1.099350e+00    7.009882e-03   1.767948e-04
  1.101554e+00    7.126371e-03   1.769782e-04
  1.103757e+00    7.073162e-03   1.765836e-04
  1.105960e+00    6.965273e-03   1.757809e-04
  1.108163e+00    6.914238e-03   1.755911e-04
  1.110367e+00    6.883573e-03   1.754778e-04
  1.112570e+00    6.848656e-03   1.759721e-04
  1.114773e+00    6.742967e-03   1.744770e-04
  1.116977e+00    6.737969e-03   1.737589e-04
  1.119180e+00    6.875532e-03   1.746208e-04
  1.121383e+00    6.731910e-03   1.736149e-04
  1.123587e+00    6.714981e-03   1.742289e-04
  1.125790e+00    6.744073e-03   1.748228e-04
  1.127993e+00    6.796905e-03   1.733534e-04
  1.130196e+00    6.923539e-03   1.732676e-04
  1.132400e+00    6.859071e-03   1.736382e-04
  1.134603e+00    6.861650e-03   1.731361e-04
  1.136806e+00    6.829776e-03   1.732466e-04
  1.139010e+00    6.803285e-03   1.732791e-04
  1.141213e+00    6.847602e-03   1.727236e-04
  1.143416e+00    6.771090e-03   1.721861e-04
  1.145619e+00    6.647649e-03   1.717749e-04
  1.147823e+00    6.630875e-03   1.712780e-04
  1.150026e+00    6.791248e-03   1.723655e-04
